CourseID,CNUM,SECTION,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
AEROSPC,1,1,"STONE, B E        ",6,2,3,1,0,1,0,0,0,0,0,0,0
AFRICAM, 004A,1,"NWOKEJI, G        ",0,9,9,22,26,9,6,1,4,1,2,1,1
AFRICAM, 005B,1,"ALLEN, R          ",9,20,15,14,7,12,3,2,6,0,0,0,2
AFRICAM, 027AC,1,"HINTZEN, P C      ",2,18,26,20,17,7,8,4,3,0,1,2,2
AFRICAM, 039B,1,"PATTON, J E       ",1,8,3,4,2,0,0,0,1,0,0,0,0
AFRICAM, 039B,2,"STANLEY, C        ",1,1,5,2,6,2,0,0,0,0,0,0,0
AFRICAM,100,1,"RAIFORD, L        ",1,6,3,4,1,4,2,0,1,0,0,1,1
AFRICAM, 112A,1,"HINTZEN, P C      ",0,7,11,8,10,5,1,1,0,0,0,0,3
AFRICAM,116,1,"TAYLOR, U Y       ",0,5,2,7,6,0,5,2,4,2,1,4,2
AFRICAM,138,1,"HENRY, C P        ",0,5,7,2,13,6,4,2,0,1,0,0,1
AFRICAM, 142AC,1,"COHEN, M M        ",0,19,14,13,19,1,2,3,1,0,0,0,1
AFRICAM,155,1,"NANDA, A          ",2,7,8,7,4,0,1,1,0,0,0,0,0
AFRICAM,159,1,"SCOTT, D          ",0,6,11,5,2,4,4,1,0,1,0,0,3
AFRICAM,159,2,"DE LEON, A        ",0,3,4,4,4,0,0,1,0,0,0,0,0
AFRICAM,C011A,1,"MCHOMBO, S A      ",1,8,2,1,0,1,0,0,0,0,0,0,0
AFRICAM,C011A,2,"MCHOMBO, S A      ",1,5,3,1,0,0,1,0,0,0,0,0,0
AFRICAM,C134,1,"LAGUERRE, M S     ",0,6,2,0,1,2,0,0,1,0,0,0,0
AFRICAM,R001A,1,"TAYLOR, U Y       ",0,8,7,13,2,1,0,1,0,0,1,0,0
AFRICAM,R001B,1,"NANDA, A          ",2,5,7,8,7,2,1,1,1,0,0,0,1
AMERSTD,10,1,"MORAN, K S        ",0,25,19,17,23,6,2,5,0,0,0,0,1
AMERSTD,101,1,"PALMER, C         ",0,3,8,7,12,7,5,0,3,0,3,0,3
AMERSTD,102,1,"BIESTMAN, K W     ",0,3,5,0,9,4,1,6,1,2,0,2,1
AMERSTD, 139AC,1,"BRILLIANT, M      ",1,3,4,6,18,9,7,6,5,1,2,1,4
AMERSTD,C111E,1,"OTTER, S          ",0,2,6,6,6,5,2,1,0,0,0,0,0
AMERSTD,C112A,1,"GROTH, P E        ",0,5,7,3,5,5,4,3,5,0,1,0,2
AMERSTD,C132B,1,"HOLLINGER, D A    ",0,2,1,3,2,2,0,0,2,0,1,0,2
AMERSTD,C134,1,"LAGUERRE, M S     ",0,10,3,0,0,2,2,0,0,0,0,0,0
AMERSTD,H110,1,"MCQUADE, D A      ",0,8,3,0,0,0,0,0,0,0,0,0,0
ANTHRO, 002AC,1,"LIGHTFOOT, K G    ",10,108,73,36,26,10,14,8,3,2,2,1,5
ANTHRO, 003AC,1,"HUBBARD, L        ",1,71,150,62,59,41,18,9,6,2,0,1,8
ANTHRO,112,3,"DEACON, T W       ",0,10,10,10,7,6,3,4,1,0,0,0,2
ANTHRO,115,1,"COHEN, L          ",5,33,22,11,4,2,0,0,0,0,0,0,1
ANTHRO, 121AC,1,"WILKIE, L A       ",4,51,16,18,38,7,6,6,5,1,0,0,1
ANTHRO, 127A,1,"AGARWAL, S C      ",4,5,4,1,2,0,0,1,0,0,0,0,0
ANTHRO, 132A,1,"RODDICK, A P      ",4,2,3,1,2,0,1,1,0,0,0,0,0
ANTHRO, 136H,1,"CONKEY, M W       ",9,3,3,3,1,2,0,0,0,0,0,0,1
ANTHRO,137,1,"NADER, L          ",7,42,67,43,22,18,13,5,3,2,4,1,4
ANTHRO,141,1,"LIU, X            ",5,11,4,5,1,3,2,0,0,0,0,0,0
ANTHRO, 160AC,1,"BRIGGS, C L       ",13,66,43,26,31,13,5,1,1,0,0,0,6
