COURSE,COURSE NUMBER,COURSE SECTION,INSTRUCTOR NAME,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete
ENVECON,100,1,"LIGON, E          ",3,10,49,7,5,4,3,1,2,0,0,0,2,0,,4,,0
ENVECON,131,1,"KARP, L S         ",2,2,2,1,1,2,0,2,1,0,0,1,0,0,,1,,0
ENVECON,143,1,"WRIGHT, B         ",2,13,10,10,10,3,2,1,0,0,0,0,0,2,,1,,1
ENVECON,145,1,"ANDERSON, M L     ",3,12,13,7,7,4,5,6,3,3,0,0,0,0,,0,,1
ENVECON,152,1,"WYDICK, B         ",1,1,5,3,6,3,3,2,0,1,0,0,1,2,,1,,0
ENVECON,C001,1,"BERCK, P          ",0,15,5,6,4,6,4,11,0,1,0,0,0,1,,1,,1
ENVECON,C102,1,"SUNDING, D L      ",2,4,6,6,14,7,9,9,8,0,1,0,1,0,,0,,0
ENVECON,C115,1,"GETZ, W M         ",0,2,3,0,1,0,1,0,0,0,0,2,1,0,,0,,0
ENVECON,C118,1,"SADOULET, E       ",3,4,4,6,4,3,1,2,4,0,1,0,0,1,,0,,0
ENVECON,C151,1,"DEJANVRY, A       ",2,8,11,8,13,8,4,7,2,0,0,0,2,0,,2,,0
ENVECON,C175,1,"TRAEGER, C P      ",0,4,8,11,5,1,2,1,0,0,0,0,1,1,,0,,0
ENVECON,C181,1,"KAMALA, C         ",1,1,2,3,4,4,7,5,2,2,2,0,1,3,,2,,0
AFRICAM, 004A,1,"NWOKEJI, G        ",1,8,6,9,8,4,5,3,0,1,1,0,2,10,,0,,3
AFRICAM, 005A,1,"CATANESE, B N     ",0,4,9,7,7,12,4,5,6,1,3,2,1,3,,12,,0
AFRICAM, 010A,1,"OMWAMBA, J O      ",0,3,2,4,2,0,0,0,0,0,0,0,0,0,,0,,0
AFRICAM, 011A,1,"OKONGO, E O       ",0,14,2,3,2,1,1,1,0,0,0,0,1,1,,0,,0
AFRICAM, 011A,2,"MCHOMBO, S A      ",3,6,8,2,1,4,0,0,1,2,2,0,0,0,,0,,0
AFRICAM, 015A,1,"OMWAMBA, J O      ",0,1,2,0,0,0,0,0,0,0,0,0,0,0,,0,,0
AFRICAM,24,1,"MCHOMBO, S A      ",0,0,0,0,0,0,0,0,0,0,0,0,0,16,,0,,1
AFRICAM, 027AC,1,"VINCENT, F        ",10,48,7,3,6,0,0,4,0,0,0,0,0,17,,0,,0
AFRICAM, 028AC,1,"SMALL, S A        ",3,8,5,23,4,1,2,1,0,0,1,0,1,9,,2,,0
AFRICAM, 039D,1,"STANLEY, C        ",1,0,3,0,4,3,1,0,0,0,0,0,0,4,,0,,1
AFRICAM, 039E,1,"PATTON, J E       ",0,1,3,5,3,1,3,0,1,0,0,0,0,3,,0,,1
AFRICAM,98,3,"CATANESE, B N     ",0,0,0,0,0,0,0,0,0,0,0,0,0,12,,2,,0
AFRICAM,98,4,"HENRY, C P        ",0,0,0,0,0,0,0,0,0,0,0,0,0,12,,1,,4
AFRICAM,100,1,                  ,0,4,8,7,4,1,0,0,1,1,0,0,0,0,,1,,0
AFRICAM,101,1,"FRYE, H T         ",2,1,6,2,1,0,0,2,0,0,0,0,0,0,,2,,6
