CourseID,CNUM,SECTION,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
AEROSPC, 002B,1,"HENSON, A S       ",2,1,3,3,0,1,1,1,0,0,0,0,0
AFRICAM, 004B,1,"NWOKEJI, G        ",0,17,22,23,6,0,0,1,0,1,1,0,2
AFRICAM, 005B,1,"ALLEN, R          ",6,10,16,11,4,5,3,2,4,0,4,0,0
AFRICAM,100,1,"RAIFORD, L        ",1,4,5,3,6,2,0,1,0,0,0,2,0
AFRICAM,111,1,"FRYE, H T         ",3,2,3,1,6,2,1,0,1,0,0,0,0
AFRICAM,117,1,"TAYLOR, U Y       ",0,3,2,7,9,2,3,2,0,0,1,0,1
AFRICAM,121,1,"HENRY, C P        ",0,9,4,4,12,1,0,2,0,0,0,0,1
AFRICAM,122,1,"FRYE, H T         ",0,12,3,6,9,3,2,0,4,0,0,1,1
AFRICAM,126,1,"TAYLOR, U Y       ",0,3,8,3,4,3,2,0,1,0,0,0,0
AFRICAM,139,2,"KNAUS, C          ",0,16,14,3,8,0,5,2,1,0,1,0,1
AFRICAM,144,1,"RAIFORD, L        ",1,6,8,1,2,0,2,0,0,0,0,0,0
AFRICAM,154,1,"CLARK, V          ",7,3,4,3,0,0,0,0,0,0,0,0,0
AFRICAM, 156AC,1,"DE LEON, A        ",2,29,13,3,3,3,0,0,0,0,1,0,2
AFRICAM,159,1,"NANDA, A          ",0,1,4,2,2,2,0,0,0,0,0,0,1
AFRICAM, 190AC,1,"HENRY, C P        ",0,5,1,0,3,3,0,1,0,0,0,0,0
AFRICAM,R001A,1,"NANDA, A          ",2,9,5,4,3,2,0,0,0,0,0,0,0
AFRICAM,R001B,1,"NANDA, A          ",0,5,7,3,6,4,2,2,0,0,0,0,0
AFRICAM,R001B,2,"KNAUS, C          ",1,10,3,1,4,2,2,2,1,0,0,0,1
AMERSTD,10,1,"COHEN, M M        ",1,13,4,7,12,6,5,1,1,2,1,0,4
AMERSTD,10,2,"CANDIDA SMITH, R  ",4,3,12,12,2,2,0,0,0,0,0,0,0
AMERSTD,101,1,"SHANKEN, A        ",2,7,2,6,2,4,0,1,1,0,1,1,1
AMERSTD,101,2,"PALMER, C         ",0,2,4,3,7,3,2,0,0,0,0,1,2
AMERSTD, 101AC,1,"HENKIN, D M       ",0,0,13,10,18,12,4,4,0,0,0,0,2
AMERSTD,102,1,"BIESTMAN, K W     ",0,3,2,2,16,15,6,7,2,0,0,0,0
AMERSTD,110,1,"BRILLIANT, M      ",0,2,7,1,3,0,1,0,0,0,1,0,0
AMERSTD,191,1,"PALMER, C         ",0,0,6,4,1,1,2,0,0,0,0,0,3
AMERSTD,191,2,"PALMER, C         ",0,6,1,4,5,1,0,1,0,0,0,0,0
AMERSTD,191,4,"FOLETTA, M        ",0,4,2,1,1,4,1,0,0,0,0,0,0
AMERSTD,C112B,1,"GROTH, P E        ",1,6,4,3,3,6,1,0,0,0,0,0,1
AMERSTD,C172,1,"ROSEN, C A        ",0,2,12,9,12,1,5,3,0,0,0,0,1
AMERSTD,H195,1,"BIESTMAN, K W     ",0,10,3,0,2,0,0,0,0,0,0,0,1
ANTHRO,1,1,"HOLLIMON, S E     ",22,162,56,24,40,7,4,6,2,6,0,0,12
ANTHRO, 002AC,1,"CONKEY, M W       ",35,48,29,23,27,16,9,10,5,0,3,0,1
ANTHRO,3,1,"BRANDES, S H      ",3,27,85,61,36,17,7,7,4,1,2,1,4
ANTHRO,115,1,"GORDON, D         ",14,32,16,7,11,1,0,0,0,0,0,0,0
ANTHRO, 122F,1,"HOLLIMON, S E     ",5,7,2,4,1,0,1,2,2,1,0,0,1
ANTHRO, 128M,1,"CLEGHORN, N E     ",2,7,1,0,1,2,1,0,0,0,0,0,1
ANTHRO,131,1,"SHACKLEY, M S     ",3,9,2,2,1,0,0,0,0,0,0,0,0
ANTHRO, 136H,1,"UNDERWOOD, C F    ",3,7,4,1,1,1,1,0,0,0,0,0,0
ANTHRO,139,1,"NADER, L          ",0,20,55,50,45,22,12,8,1,1,0,0,6
ANTHRO, 156B,1,"RABINOW, P M      ",3,3,15,4,3,2,2,0,1,0,0,0,2
